DMR,Gene,Assignment_Type,Distance_to_TSS
chr1_DMR_95,PRDM16,CpG,0.0
chr1_DMR_96,TCTEX1D1,CpG,0.0
chr1_DMR_97,GPR25,CpG,0.0
chr1_DMR_98,TNFSF4,CpG,0.0
chr1_DMR_99,FASLG,CpG,0.0
chr1_DMR_102,SYDE2,CpG,0.0
chr1_DMR_103,S1PR1,CpG,0.0
chr1_DMR_104,UBR4,CpG,0.0
chr1_DMR_105,OR10T2,CpG,0.0
chr1_DMR_106,SLC2A5,CpG,0.0
chr1_DMR_107,IL24,CpG,0.0
chr1_DMR_108,FAIM3,CpG,0.0
chr1_DMR_109,C4BPA,CpG,0.0
chr1_DMR_110,C1orf83,CpG,0.0
chr1_DMR_111,IKBKE,CpG,0.0
chr1_DMR_112,SLAMF1,CpG,0.0
chr1_DMR_113,ECE1,CpG,0.0
chr1_DMR_114,GUCA2B,CpG,0.0
chr1_DMR_115,MOSC2,CpG,0.0
chr1_DMR_116,PRKCZ,CpG,0.0
chr1_DMR_117,C1orf228,CpG,0.0
chr1_DMR_118,TRAPPC3,CpG,0.0
chr1_DMR_119,BCL9,CpG,0.0
chr1_DMR_120,RORC,CpG,0.0
chr1_DMR_121,HMGCL,CpG,0.0
chr1_DMR_122,C1orf49,CpG,0.0
chr1_DMR_123,SLAMF7,CpG,0.0
chr1_DMR_124,DEDD,CpG,0.0
chr1_DMR_125,TNFRSF8,CpG,0.0
chr1_DMR_126,VTCN1,CpG,0.0
chr1_DMR_127,CD2,CpG,0.0
chr1_DMR_129,SAMD13,CpG,0.0
chr1_DMR_130,ARTN,CpG,0.0
chr1_DMR_131,MIR29C,CpG,0.0
chr1_DMR_132,PRDX6,CpG,0.0
chr1_DMR_133,OR2B11,CpG,0.0
chr1_DMR_134,RUNX3,CpG,0.0
chr1_DMR_135,UAP1,CpG,0.0
chr1_DMR_136,GOLT1A,CpG,0.0
chr1_DMR_138,ATP1A2,CpG,0.0
chr1_DMR_139,MAP3K6,CpG,0.0
chr1_DMR_140,INTS3,CpG,0.0
chr1_DMR_140,SLC27A3,CpG,0.0
chr1_DMR_141,PADI4,CpG,0.0
chr1_DMR_142,PLXNA2,CpG,0.0
chr1_DMR_143,OR10J1,CpG,0.0
chr1_DMR_144,OR10Z1,CpG,0.0
chr1_DMR_145,ZNF124,CpG,0.0
chr1_DMR_146,PTPRC,CpG,0.0
chr1_DMR_147,LOC339524,CpG,0.0
chr1_DMR_148,LMO4,CpG,0.0
chr1_DMR_149,C1orf161,CpG,0.0
chr1_DMR_150,TGFB2,CpG,0.0
chr1_DMR_151,COL16A1,CpG,0.0
chr1_DMR_152,CASZ1,CpG,0.0
chr1_DMR_153,ITPKB,CpG,0.0
chr1_DMR_154,SLC25A24,CpG,0.0
chr1_DMR_155,GLRX2,CpG,0.0
chr1_DMR_156,MIR1976,CpG,0.0
chr1_DMR_156,RPS6KA1,CpG,0.0
chr1_DMR_157,TNFRSF9,CpG,0.0
chr1_DMR_158,AADACL3,CpG,0.0
chr1_DMR_159,DHCR24,CpG,0.0
chr1_DMR_160,ETV3L,CpG,0.0
chr1_DMR_161,C1orf210,CpG,0.0
chr1_DMR_163,ERI3,CpG,0.0
chr1_DMR_164,EPS8L3,CpG,0.0
chr1_DMR_165,LOC148696,CpG,0.0
chr1_DMR_166,SAMD13,CpG,0.0
chr1_DMR_168,CD52,CpG,0.0
chr1_DMR_168,UBXN11,CpG,0.0
chr1_DMR_169,DHDDS,CpG,0.0
chr1_DMR_169,HMGN2,CpG,0.0
chr1_DMR_170,C1orf213,CpG,0.0
chr1_DMR_170,ZNF436,CpG,0.0
chr1_DMR_171,RORC,CpG,0.0
chr1_DMR_172,CD34,CpG,0.0
chr1_DMR_173,SORT1,CpG,0.0
chr1_DMR_174,CHI3L1,CpG,0.0
chr1_DMR_175,DIO1,CpG,0.0
chr1_DMR_176,SDF4,CpG,0.0
chr1_DMR_177,RALGPS2,CpG,0.0
chr1_DMR_178,MIR205,CpG,0.0
chr1_DMR_178,LOC642587,CpG,0.0
chr1_DMR_179,MYOC,CpG,0.0
chr1_DMR_180,CASZ1,CpG,0.0
chr1_DMR_181,MEF2D,CpG,0.0
chr1_DMR_182,SORT1,CpG,0.0
chr1_DMR_183,APCS,CpG,0.0
chr1_DMR_184,SNX27,CpG,0.0
chr1_DMR_185,ENO1,CpG,0.0
chr1_DMR_186,NDUFS2,CpG,0.0
chr1_DMR_186,ADAMTS4,CpG,0.0
chr1_DMR_187,RAB13,CpG,0.0
chr1_DMR_188,ALDH4A1,CpG,0.0
chr1_DMR_189,CREG1,CpG,0.0
chr1_DMR_190,OR10J5,CpG,0.0
chr1_DMR_191,TMEM183B,CpG,0.0
chr1_DMR_191,TMEM183A,CpG,0.0
chr1_DMR_192,CHD1L,CpG,0.0
chr1_DMR_193,AHDC1,CpG,0.0
chr1_DMR_194,TBX15,CpG,0.0
chr1_DMR_195,TP73,CpG,0.0
chr1_DMR_196,C1orf220,CpG,0.0
chr1_DMR_197,C1orf104,CpG,0.0
chr1_DMR_197,RUSC1,CpG,0.0
chr1_DMR_197,FDPS,CpG,0.0
chr1_DMR_198,TNFRSF1B,CpG,0.0
chr1_DMR_199,LIN9,CpG,0.0
chr1_DMR_200,ITPKB,CpG,0.0
chr1_DMR_201,PRDM16,CpG,0.0
chr1_DMR_202,PRDM16,CpG,0.0
chr1_DMR_204,IQGAP3,CpG,0.0
chr1_DMR_205,C1orf104,CpG,0.0
chr1_DMR_205,RUSC1,CpG,0.0
chr1_DMR_206,PLA2G2F,CpG,0.0
chr1_DMR_207,ZC3H12A,CpG,0.0
chr1_DMR_208,PGD,CpG,0.0
chr1_DMR_210,KCND3,CpG,0.0
chr1_DMR_211,G0S2,CpG,0.0
chr1_DMR_212,PDZK1IP1,CpG,0.0
chr1_DMR_213,DENND1B,CpG,0.0
chr1_DMR_214,OR2T6,CpG,0.0
chr1_DMR_215,ARHGAP30,CpG,0.0
chr1_DMR_216,KCNA3,CpG,0.0
chr1_DMR_217,MIR429,CpG,0.0
chr1_DMR_218,HEYL,CpG,0.0
chr1_DMR_219,KIF26B,CpG,0.0
chr1_DMR_220,AVPR1B,CpG,0.0
chr1_DMR_221,KRTCAP2,CpG,0.0
chr1_DMR_221,TRIM46,CpG,0.0
chr1_DMR_222,PTP4A2,CpG,0.0
chr1_DMR_223,SEMA4A,CpG,0.0
chr1_DMR_224,CLSTN1,CpG,0.0
chr1_DMR_225,AGL,CpG,0.0
chr1_DMR_226,PLEKHG5,CpG,0.0
chr1_DMR_226,TNFRSF25,CpG,0.0
chr1_DMR_227,PEX14,CpG,0.0
chr1_DMR_228,CAPN2,CpG,0.0
chr1_DMR_229,TGFBR3,CpG,0.0
chr1_DMR_230,S100A2,CpG,0.0
chr1_DMR_231,PRDM16,CpG,0.0
chr1_DMR_232,CDC42SE1,CpG,0.0
chr1_DMR_232,MLLT11,CpG,0.0
chr1_DMR_233,SH3BP5L,CpG,0.0
chr1_DMR_234,POMGNT1,CpG,0.0
chr1_DMR_234,C1orf190,CpG,0.0
chr1_DMR_235,CHI3L1,CpG,0.0
chr1_DMR_236,RAB42,CpG,0.0
chr1_DMR_237,PRDM16,CpG,0.0
chr1_DMR_238,KIF21B,CpG,0.0
chr1_DMR_239,SERTAD4,CpG,0.0
chr1_DMR_239,C1orf133,CpG,0.0
chr1_DMR_240,C1orf204,CpG,0.0
chr1_DMR_240,VSIG8,CpG,0.0
chr1_DMR_241,RCC2,CpG,0.0
chr1_DMR_242,LPGAT1,CpG,0.0
chr1_DMR_243,IL28RA,CpG,0.0
chr1_DMR_244,C1QB,CpG,0.0
chr1_DMR_245,OR2T4,CpG,0.0
chr1_DMR_246,PRDM16,CpG,0.0
chr1_DMR_247,SEPN1,CpG,0.0
chr1_DMR_248,ELF3,CpG,0.0
chr1_DMR_249,OR2W5,CpG,0.0
chr1_DMR_250,DHRS3,CpG,0.0
chr1_DMR_251,WNT9A,CpG,0.0
chr1_DMR_252,TINAGL1,CpG,0.0
chr1_DMR_253,KIF1B,CpG,0.0
chr1_DMR_254,AGTRAP,CpG,0.0
chr1_DMR_256,HSPG2,CpG,0.0
chr1_DMR_257,SLC16A1,CpG,0.0
chr1_DMR_258,PRKCZ,CpG,0.0
chr1_DMR_259,CD247,CpG,0.0
chr1_DMR_260,ELAVL4,CpG,0.0
chr1_DMR_261,C1orf162,CpG,0.0
chr1_DMR_262,LMNA,CpG,0.0
chr1_DMR_263,EPB41,CpG,0.0
chr1_DMR_264,RAVER2,CpG,0.0
chr1_DMR_265,GAS5,CpG,0.0
chr1_DMR_265,SNORD78,CpG,0.0
chr1_DMR_265,SNORD80,CpG,0.0
chr1_DMR_265,SNORD79,CpG,0.0
chr1_DMR_265,SNORD47,CpG,0.0
chr1_DMR_265,SNORD81,CpG,0.0
chr1_DMR_266,LOC339524,CpG,0.0
chr1_DMR_267,PLEKHG5,CpG,0.0
chr1_DMR_269,SLC5A9,CpG,0.0
chr1_DMR_270,CADM3,CpG,0.0
chr1_DMR_272,EIF2C1,CpG,0.0
chr1_DMR_273,CD58,CpG,0.0
chr1_DMR_274,ARHGEF16,CpG,0.0
chr1_DMR_275,TRAF5,CpG,0.0
chr1_DMR_276,KLHL21,CpG,0.0
chr1_DMR_277,MFSD4,CpG,0.0
chr1_DMR_278,PQLC2,CpG,0.0
chr1_DMR_280,GPR37L1,CpG,0.0
chr1_DMR_281,AQP10,CpG,0.0
chr1_DMR_282,FAF1,CpG,0.0
chr1_DMR_283,TAS1R1,CpG,0.0
chr1_DMR_283,ZBTB48,CpG,0.0
chr1_DMR_284,KIAA0319L,CpG,0.0
chr1_DMR_285,RNF220,CpG,0.0
chr1_DMR_286,RNF220,CpG,0.0
chr1_DMR_288,AHDC1,CpG,0.0
chr1_DMR_289,FHL3,CpG,0.0
chr1_DMR_292,ZNF692,CpG,0.0
chr1_DMR_293,PIK3CD,CpG,0.0
chr1_DMR_294,TACSTD2,CpG,0.0
chr1_DMR_295,C1orf175,CpG,0.0
chr1_DMR_297,GSTM2,CpG,0.0
chr1_DMR_300,TRIM62,CpG,0.0
chr1_DMR_301,CYMP,CpG,0.0
chr1_DMR_302,LOC646471,CpG,0.0
chr1_DMR_302,FAM54B,CpG,0.0
chr1_DMR_303,S100A5,CpG,0.0
chr1_DMR_304,ZNF697,CpG,0.0
chr1_DMR_307,HCRTR1,CpG,0.0
chr1_DMR_308,ECE1,CpG,0.0
chr1_DMR_309,RCOR3,CpG,0.0
chr1_DMR_310,TP53BP2,CpG,0.0
chr1_DMR_311,RHOU,CpG,0.0
chr1_DMR_312,PTPN7,CpG,0.0
chr1_DMR_314,IFFO2,CpG,0.0
chr1_DMR_315,NPHP4,CpG,0.0
chr1_DMR_316,TPM3,CpG,0.0
chr1_DMR_316,NUP210L,CpG,0.0
chr1_DMR_318,GPSM2,CpG,0.0
chr1_DMR_319,NBPF1,CpG,0.0
chr1_DMR_320,ACTRT2,CpG,0.0
chr1_DMR_321,KIF21B,CpG,0.0
chr1_DMR_322,PEX10,CpG,0.0
chr1_DMR_323,LEPROT,CpG,0.0
chr1_DMR_323,LEPR,CpG,0.0
chr1_DMR_324,S100A11,CpG,0.0
chr1_DMR_325,ARHGEF19,CpG,0.0
chr1_DMR_326,NADK,CpG,0.0
chr1_DMR_327,SLAMF8,CpG,0.0
chr1_DMR_329,FLJ39609,CpG,0.0
chr1_DMR_330,C1orf111,CpG,0.0
chr1_DMR_330,C1orf226,CpG,0.0
chr1_DMR_331,IPO9,CpG,0.0
chr1_DMR_332,KIF21B,CpG,0.0
chr1_DMR_333,KIRREL,CpG,0.0
chr1_DMR_334,F11R,CpG,0.0
chr1_DMR_336,OBSCN,CpG,0.0
chr1_DMR_337,DDAH1,CpG,0.0
chr1_DMR_338,TMEM51,CpG,0.0
chr1_DMR_338,C1orf126,CpG,0.0
chr1_DMR_339,PRDM16,CpG,0.0
chr1_DMR_340,TMEM79,CpG,0.0
chr1_DMR_342,TUFT1,CpG,0.0
chr1_DMR_344,NFIA,CpG,0.0
chr1_DMR_345,C1orf177,CpG,0.0
chr1_DMR_347,PODN,CpG,0.0
chr1_DMR_348,RPS6KA1,CpG,0.0
chr1_DMR_349,SERINC2,CpG,0.0
chr1_DMR_350,VWA5B1,CpG,0.0
chr1_DMR_351,EPHX1,CpG,0.0
chr1_DMR_352,ESPN,CpG,0.0
chr1_DMR_352,TNFRSF25,CpG,0.0
chr1_DMR_353,ZMYM1,CpG,0.0
chr1_DMR_355,C1orf55,CpG,0.0
chr1_DMR_356,MDS2,CpG,0.0
chr1_DMR_357,CD1D,CpG,0.0
chr1_DMR_358,CACHD1,CpG,0.0
chr1_DMR_359,CLCN6,CpG,0.0
chr1_DMR_359,MTHFR,CpG,0.0
chr1_DMR_360,AK5,CpG,0.0
chr1_DMR_361,FAM78B,CpG,0.0
chr1_DMR_362,RCAN3,CpG,0.0
chr1_DMR_364,FLAD1,CpG,0.0
chr1_DMR_364,LENEP,CpG,0.0
chr1_DMR_365,AHDC1,CpG,0.0
chr1_DMR_366,FLJ37453,CpG,0.0
chr1_DMR_367,IFFO2,CpG,0.0
chr1_DMR_369,GNG4,CpG,0.0
chr1_DMR_370,LYST,CpG,0.0
chr1_DMR_370,MIR1537,CpG,0.0
chr1_DMR_372,PROK1,CpG,0.0
chr1_DMR_373,MEGF6,CpG,0.0
chr1_DMR_374,CHD5,CpG,0.0
chr1_DMR_375,CDCP2,CpG,0.0
chr1_DMR_376,PGLYRP3,CpG,0.0
chr1_DMR_377,PEAR1,CpG,0.0
chr1_DMR_378,PINK1,CpG,0.0
chr1_DMR_379,RGS16,CpG,0.0
chr1_DMR_380,C1orf226,CpG,0.0
chr1_DMR_381,PRDM16,CpG,0.0
chr1_DMR_382,KDM4A,CpG,0.0
chr1_DMR_383,GRHL3,CpG,0.0
chr1_DMR_384,PLK3,CpG,0.0
chr1_DMR_386,NADK,CpG,0.0
chr1_DMR_387,ILDR2,CpG,0.0
chr1_DMR_388,CAPN8,CpG,0.0
chr1_DMR_391,SNHG3-RCC1,CpG,0.0
chr1_DMR_391,RCC1,CpG,0.0
chr1_DMR_392,ZNF687,CpG,0.0
chr1_DMR_393,C1orf70,CpG,0.0
chr1_DMR_393,SSU72,CpG,0.0
chr1_DMR_394,PRDM16,CpG,0.0
chr1_DMR_395,GALNT2,CpG,0.0
chr1_DMR_396,ANKRD34A,CpG,0.0
chr1_DMR_397,PRDM16,CpG,0.0
chr1_DMR_398,SMG5,CpG,0.0
chr1_DMR_398,TMEM79,CpG,0.0
chr1_DMR_399,LOC440926,CpG,0.0
chr1_DMR_399,H3F3A,CpG,0.0
chr1_DMR_400,FNBP1L,CpG,0.0
chr1_DMR_401,PRDM16,CpG,0.0
chr1_DMR_402,HLX,CpG,0.0
chr1_DMR_403,SLC26A9,CpG,0.0
chr1_DMR_404,CALML6,CpG,0.0
chr1_DMR_405,RAP1GAP,CpG,0.0
chr1_DMR_406,KNCN,CpG,0.0
chr1_DMR_407,AKNAD1,CpG,0.0
chr1_DMR_408,CHIT1,CpG,0.0
chr1_DMR_409,PTGS2,CpG,0.0
chr1_DMR_410,RUNX3,CpG,0.0
chr1_DMR_412,RASAL2,CpG,0.0
chr1_DMR_413,LAMC2,CpG,0.0
chr1_DMR_415,SPOCD1,CpG,0.0
chr1_DMR_416,TBX15,CpG,0.0
chr1_DMR_417,SLC22A15,CpG,0.0
chr1_DMR_418,GLUL,CpG,0.0
chr1_DMR_419,CTSE,CpG,0.0
chr1_DMR_420,YTHDF2,CpG,0.0
chr1_DMR_421,FHL3,CpG,0.0
chr1_DMR_422,SLC2A7,CpG,0.0
chr1_DMR_423,SHE,CpG,0.0
chr1_DMR_425,CASQ1,CpG,0.0
chr1_DMR_426,FAM78B,CpG,0.0
chr1_DMR_427,CAPN2,CpG,0.0
chr1_DMR_428,SLC5A9,CpG,0.0
chr1_DMR_429,MTHFR,CpG,0.0
chr1_DMR_431,VWA1,CpG,0.0
chr1_DMR_432,IPP,CpG,0.0
chr1_DMR_433,NID1,CpG,0.0
chr1_DMR_434,ZNF362,CpG,0.0
chr1_DMR_435,MEGF6,CpG,0.0
chr1_DMR_436,LRRC8D,CpG,0.0
chr1_DMR_437,RUNX3,CpG,0.0
chr1_DMR_438,KIF26B,CpG,0.0
chr1_DMR_440,UBXN10,CpG,0.0
chr1_DMR_441,SKI,CpG,0.0
chr1_DMR_442,LPPR4,CpG,0.0
chr1_DMR_443,OR6K3,CpG,0.0
chr1_DMR_444,MORN1,CpG,0.0
chr1_DMR_445,KANK4,CpG,0.0
chr1_DMR_446,ZCCHC11,CpG,0.0
chr1_DMR_447,DUSP27,CpG,0.0
chr1_DMR_448,CD244,CpG,0.0
chr1_DMR_449,NR0B2,CpG,0.0
chr1_DMR_450,SPRR4,CpG,0.0
chr1_DMR_451,MATN1,CpG,0.0
chr1_DMR_452,ACOT7,CpG,0.0
chr1_DMR_453,ZBTB40,CpG,0.0
chr1_DMR_454,BSND,CpG,0.0
chr1_DMR_455,PLEKHA6,CpG,0.0
chr1_DMR_456,SPRR3,CpG,0.0
chr1_DMR_458,LDLRAD1,CpG,0.0
chr1_DMR_459,VPS13D,CpG,0.0
chr1_DMR_460,GAS5,CpG,0.0
chr1_DMR_460,SNORD74,CpG,0.0
chr1_DMR_460,SNORD76,CpG,0.0
chr1_DMR_460,SNORD77,CpG,0.0
chr1_DMR_460,ZBTB37,CpG,0.0
chr1_DMR_460,SNORD75,CpG,0.0
chr1_DMR_461,TMEM51,CpG,0.0
chr1_DMR_462,IL10,CpG,0.0
chr1_DMR_463,KMO,CpG,0.0
chr1_DMR_464,HLX,CpG,0.0
chr1_DMR_465,PROX1,CpG,0.0
chr1_DMR_466,PIGR,CpG,0.0
chr1_DMR_467,SEMA6C,CpG,0.0
chr1_DMR_468,TMEM63A,CpG,0.0
chr1_DMR_469,LINGO4,CpG,0.0
chr1_DMR_469,RORC,CpG,0.0
chr1_DMR_470,PLEKHO1,CpG,0.0
chr1_DMR_471,FAM78B,CpG,0.0
chr1_DMR_471,MIR921,CpG,0.0
chr1_DMR_472,ARHGEF10L,CpG,0.0
chr1_DMR_473,VCAM1,CpG,0.0
chr1_DMR_474,IGFN1,CpG,0.0
chr1_DMR_475,PHTF1,CpG,0.0
chr1_DMR_477,LCE2A,CpG,0.0
chr1_DMR_478,MACF1,CpG,0.0
chr1_DMR_479,LRRC41,CpG,0.0
chr1_DMR_480,DHRS3,CpG,0.0
chr1_DMR_481,CASQ2,CpG,0.0
chr1_DMR_482,SPOCD1,CpG,0.0
chr1_DMR_484,ACOT7,CpG,0.0
chr1_DMR_485,LOC400804,CpG,0.0
chr1_DMR_486,FOXJ3,CpG,0.0
chr1_DMR_487,DMAP1,CpG,0.0
chr1_DMR_488,LASS2,CpG,0.0
chr1_DMR_490,ELTD1,CpG,0.0
chr1_DMR_492,C1orf130,CpG,0.0
chr1_DMR_493,RERE,CpG,0.0
chr1_DMR_495,RGS1,CpG,0.0
chr1_DMR_496,SPRR2C,CpG,0.0
chr1_DMR_497,TMEM88B,CpG,0.0
chr1_DMR_498,CD53,CpG,0.0
chr1_DMR_499,PRDM16,CpG,0.0
chr1_DMR_500,TMEM53,CpG,0.0
chr1_DMR_501,TAL1,CpG,0.0
chr1_DMR_503,ECE1,CpG,0.0
chr1_DMR_504,PRDM16,CpG,0.0
chr1_DMR_505,ZNF683,CpG,0.0
chr1_DMR_506,RPS8,CpG,0.0
chr1_DMR_506,SNORD38A,CpG,0.0
chr1_DMR_506,SNORD38B,CpG,0.0
chr1_DMR_507,PPM1J,CpG,0.0
chr1_DMR_508,NTRK1,CpG,0.0
chr1_DMR_508,INSRR,CpG,0.0
chr1_DMR_509,PBX1,CpG,0.0
chr1_DMR_510,UBL4B,CpG,0.0
chr1_DMR_511,IPO13,CpG,0.0
chr1_DMR_512,PRKCZ,CpG,0.0
chr1_DMR_513,DVL1,CpG,0.0
chr1_DMR_514,ADAM15,CpG,0.0
chr1_DMR_514,DCST1,CpG,0.0
chr1_DMR_515,KCNA2,CpG,0.0
chr1_DMR_516,PPFIA4,CpG,0.0
chr1_DMR_518,NFIA,CpG,0.0
chr1_DMR_519,CRABP2,CpG,0.0
chr1_DMR_520,FCRL1,CpG,0.0
chr1_DMR_521,IL6R,CpG,0.0
chr1_DMR_522,PLOD1,CpG,0.0
chr1_DMR_523,FAM129A,CpG,0.0
chr1_DMR_525,NHLH1,CpG,0.0
chr1_DMR_526,C1orf158,CpG,0.0
chr1_DMR_527,ZMYND12,CpG,0.0
chr1_DMR_527,PPCS,CpG,0.0
chr1_DMR_528,CAMTA1,CpG,0.0
chr1_DMR_529,PEAR1,CpG,0.0
chr1_DMR_531,KCNA10,CpG,0.0
chr1_DMR_533,PLCH2,CpG,0.0
chr1_DMR_534,IL12RB2,CpG,0.0
chr1_DMR_535,NGF,CpG,0.0
chr1_DMR_536,PRDM16,CpG,0.0
chr1_DMR_537,LOC400752,CpG,0.0
chr1_DMR_538,ATP1A1,CpG,0.0
chr1_DMR_539,TNFRSF8,CpG,0.0
chr1_DMR_540,GPR3,CpG,0.0
chr1_DMR_541,SPATA6,CpG,0.0
chr1_DMR_542,IFI16,CpG,0.0
chr1_DMR_543,MAP3K6,CpG,0.0
chr1_DMR_544,FAIM3,CpG,0.0
chr1_DMR_545,PLCH2,CpG,0.0
chr1_DMR_546,ARID1A,CpG,0.0
chr1_DMR_547,PRKAB2,CpG,0.0
chr1_DMR_548,PIK3CD,CpG,0.0
chr1_DMR_549,FBXO44,CpG,0.0
chr1_DMR_549,FBXO2,CpG,0.0
chr1_DMR_551,EPHA2,CpG,0.0
chr1_DMR_552,TMEM201,CpG,0.0
chr1_DMR_553,MEGF6,CpG,0.0
chr1_DMR_554,GJB5,CpG,0.0
chr1_DMR_555,CAMTA1,CpG,0.0
chr1_DMR_556,NLRP3,CpG,0.0
chr1_DMR_557,USP21,CpG,0.0
chr1_DMR_557,UFC1,CpG,0.0
chr1_DMR_558,CLK2,CpG,0.0
chr1_DMR_559,PRDM16,CpG,0.0
chr1_DMR_560,MEGF6,CpG,0.0
chr1_DMR_561,SLC2A5,CpG,0.0
chr1_DMR_562,PAQR7,CpG,0.0
chr1_DMR_564,ANKRD45,CpG,0.0
chr1_DMR_565,LRRC8D,CpG,0.0
chr1_DMR_566,MAPKAPK2,CpG,0.0
chr1_DMR_567,CADM3,CpG,0.0
chr1_DMR_568,MOBKL2C,CpG,0.0
chr1_DMR_569,MCOLN2,CpG,0.0
chr1_DMR_570,KCNAB2,CpG,0.0
chr1_DMR_571,SLC6A17,CpG,0.0
chr1_DMR_572,QSOX1,CpG,0.0
chr1_DMR_573,SPSB1,CpG,0.0
