"DMR","CpGs"
"chr1_DMR_50","cg00956142;cg23847017;cg08123074"
"chr1_DMR_51","cg11140595;cg25004270;cg25880288;cg10705488;cg17271960;cg18123911;cg06761793;cg07147033;cg13897348;cg01229567;cg19246761;cg15817635;cg15652741"
"chr1_DMR_52","cg26694028;cg02497700;cg16399365;cg12869659;cg15896892;cg19698993"
"chr1_DMR_53","cg02058628;cg19404444;cg10397932;cg25139649"
"chr1_DMR_54","cg24492058;cg09247175;cg06853894"
"chr1_DMR_55","cg24490338;cg03830929;cg12205230;cg21536086;cg00950004;cg12640942;cg16586406;cg13740187;cg27313201"
"chr1_DMR_56","cg03505654;cg26112639;cg21824010;cg07313373;cg21919599;cg21806273;cg18183941;cg03466998"
"chr1_DMR_57","cg01434649;cg21000072;cg04021697;cg02153614;cg07382920;cg15120141;cg20677901;cg17496659;cg16406833;cg04865841;cg00780805;cg24336278;cg01530317;cg01915516;cg06782351;cg18279839;cg25885108;cg06839380;cg24073122;cg00295572;cg16823083;cg00565688;cg07901143;cg04344205;cg04391111;cg21012455;cg24678611;cg12475507;cg22614891;cg11256802;cg13501117;cg26128092;cg22822803;cg09798435;cg17801268;cg07174627;cg10038618;cg25731359"
"chr1_DMR_58","cg22721579;cg13500072;cg14128890;cg18238858;cg12679760;cg14023023;cg11673291;cg22810403;cg00426377;cg15095906;cg04010586;cg17942851;cg08452766;cg16394290;cg02993069;cg03507534;cg17139085"
"chr1_DMR_59","cg10994944;cg04503267;cg07376381;cg15116327;cg10837783;cg00625963;cg14781242;cg10325497;cg20239639;cg10250177;cg09684338;cg03243362"
"chr1_DMR_60","cg23251970;cg13184736;cg13399816;cg03140521;cg25189904;cg26764244"
"chr1_DMR_61","cg24547755;cg18182216;cg26252253;cg07495664;cg19744131;cg09028383;cg04275985;cg06180099;cg01045946;cg01016521;cg06433658"
"chr1_DMR_62","cg06087421;cg03752218;cg25764899;cg06955484;cg01418261;cg10026317;cg10633601;cg19247124;cg02241397;cg10961841;cg06209689;cg01147107;cg11399254;cg26881761;cg10121601;cg19797376;cg00875272;cg26891410;cg18131548;cg09135016"
"chr1_DMR_63","cg00354179;cg23056823;cg06692785;cg04578935;cg23217419;cg12604950;cg02156380;cg01022200;cg07730364"
"chr1_DMR_64","cg17918090;cg21932513;cg08038629;cg21918969;cg07394400;cg25009141;cg22785554;cg05523906"
"chr1_DMR_65","cg17949727;cg05749969;cg02309273;cg23262274;cg10784030"
"chr1_DMR_66","cg05628567;cg00577202;cg20839149;cg10811945;cg27660165;cg25630380;cg12499211;cg09888330;cg25827666;cg00626119"
"chr1_DMR_67","cg16145216;cg17098103;cg15542713;cg24049493"
"chr1_DMR_68","cg10965178;cg27547344;cg26195652;cg21539594;cg13470063;cg14525270"
"chr1_DMR_69","cg14158583;cg10841756;cg16557111;cg17833106;cg26035542;cg22585988;cg03166324"
"chr1_DMR_70","cg04436994;cg14166284;cg07584855;cg12479878;cg22698272;cg07179669;cg19306970;cg22041228;cg02455346;cg21282663;cg20454002;cg17852326;cg09255910;cg02928365"
"chr1_DMR_71","cg11225849;cg17222992;cg01780943;cg09139451;cg09061993;cg25812776;cg10177528;cg20912172"
"chr1_DMR_72","cg19825898;cg06201717;cg24150662"
"chr1_DMR_73","cg07423155;cg15201110;cg15617137;cg02849769;cg19406040;cg24640001;cg26572163;cg12020639;cg02085805;cg24681307;cg04310489;cg19595244;cg02152578"
"chr1_DMR_74","cg03607951;cg00855901;cg13304609;cg17980508"
"chr1_DMR_75","cg11580676;cg24843609;cg12036877;cg23729443;cg11519176;cg13282594;cg14663278;cg17419597;cg09996284"
"chr1_DMR_76","cg05968270;cg15620028;cg04924028;cg09473383;cg14029283;cg20301308"
"chr1_DMR_77","cg07561747;cg18535415"
"chr1_DMR_78","cg14027204;cg24687529;cg11708721;cg15937641;cg17042439"
"chr1_DMR_79","cg26567943;cg11333835;cg25610515;cg26530485;cg22865831;cg04553810;cg26051750;cg01435109"
"chr1_DMR_80","cg20998511;cg07175580;cg22035815;cg12380764;cg11582579"
"chr1_DMR_81","cg06883956;cg15903571;cg02265922"
"chr1_DMR_82","cg02450742;cg01905589;cg22512670;cg26515186;cg12729822;cg01031251;cg24585377;cg19259146;cg13092108"
"chr1_DMR_83","cg10500218;cg07320311;cg16592623;cg05267654;cg24915511;cg12712846;cg02661372;cg13228642;cg22801949;cg27176729"
"chr1_DMR_84","cg14615868;cg09225230;cg23020486;cg15677293;cg09164898;cg00178850;cg04311403;cg02327465;cg04031361;cg23875264;cg09809672;cg12437148;cg15202123;cg16240480;cg18964582"
"chr1_DMR_85","cg11715828;cg00069860;cg18180569;cg02234734;cg16547629;cg08094291;cg12548634;cg24603481;cg04830825;cg13880950;cg12049688;cg19382731"
"chr1_DMR_86","cg04564646;cg08355353;cg11688651;cg16009787;cg14256234;cg05306395;cg03417473;cg11178985;cg22853526;cg10114555"
"chr1_DMR_87","cg21581873;cg23094674;cg09085216;cg26895569;cg06807117;cg24864241;cg27549944;cg20292636"
"chr1_DMR_88","cg06376129;cg12730826;cg13197680;cg00007898;cg06756667;cg05789608;cg24713653;cg23362667;cg24159697;cg20414749;cg00857998;cg17889831;cg03948781"
"chr1_DMR_89","cg00980058;cg10576245;cg16371229"
"chr1_DMR_90","cg04015594;cg19516647;cg06536150;cg08153752;cg17445605;cg14173199;cg15595501;cg09044743;cg06186150;cg17128799;cg22530293"
"chr1_DMR_91","cg19824396;cg00594917;cg03511671;cg24000087;cg09122593;cg10952234;cg04914198"
"chr1_DMR_92","cg02847588;cg00590817;cg12700319;cg06780032;cg20014974"
"chr1_DMR_93","cg03701795;cg12200412;cg26014409;cg09664215"
"chr1_DMR_94","cg24040570;cg10212705;cg24296484;cg12644885;cg00581482;cg23233141;cg06824583;cg17094927;cg08190044;cg15026150;cg07244253;cg20744437;cg18813777;cg23924887;cg21379008;cg06811467"
"chr1_DMR_95","cg07956247;cg00895834;cg06099439;cg01777678;cg14969646;cg03527274;cg24641193"
"chr1_DMR_96","cg19808205;cg09769134;cg25339566;cg08857729;cg09318375;cg17284804;cg19159365;cg11824639;cg24161501;cg17819635;cg24110050;cg16996144"
"chr1_DMR_97","cg19940077;cg13300273;cg24550456;cg04983977;cg07580975;cg21870884;cg15892784;cg01711322;cg25377289"
"chr1_DMR_98","cg16517394;cg21439763;cg10861599"
"chr1_DMR_99","cg10161121;cg06983746"
"chr1_DMR_100","cg00386984;cg02237208;cg06368978;cg13214309;cg27222162;cg00567930;cg03324138;cg20989215"
"chr1_DMR_101","cg00085493;cg24315421"
"chr1_DMR_102","cg06842519;cg06143087;cg11210092;cg14090374;cg01233392;cg20962543;cg22949578;cg15444788;cg21111500;cg15500929;cg12076664;cg18635645;cg17019143"
"chr1_DMR_103","cg25012864;cg20740769;cg04701420;cg18323466;cg07400091;cg04156369;cg02628801;cg21385047;cg18757941;cg05053688;cg20166532;cg05338680;cg03050965;cg13477354;cg19038540;cg17972213;cg10020333;cg05160678;cg23978968;cg10210739;cg17859448"
"chr1_DMR_104","cg16265859;cg21417130"
"chr1_DMR_105","cg15593510;cg15852352"
"chr1_DMR_106","cg12763828;cg00310940;cg03679305"
"chr1_DMR_107","cg11076275;cg06796611;cg16417028;cg11833125;cg23909633"
"chr1_DMR_108","cg17100176;cg17460386;cg22511455;cg22945467"
"chr1_DMR_109","cg14856606;cg17803430;cg26044340;cg11070419;cg26430305;cg26514552"
"chr1_DMR_110","cg24593372;cg06659338"
"chr1_DMR_111","cg26859016;cg14283602;cg16619193;cg20530056;cg06541188"
"chr1_DMR_112","cg18881723;cg03950000;cg01710351;cg20535085;cg21920303;cg00149213"
"chr1_DMR_113","cg09232430;cg17216478;cg23029526;cg07015435;cg08794135;cg16603916;cg26348226;cg06819200;cg22054164"
"chr1_DMR_114","cg15976404;cg19728577;cg17100200;cg00656728;cg14848143;cg24583987;cg15545316;cg14258285;cg11837471;cg10179693"
"chr1_DMR_115","cg26000554;cg04392469;cg04226749;cg26218412;cg23593167;cg19030620;cg03440757;cg00162751;cg23054437"
"chr1_DMR_116","cg04347414;cg00300046;cg07382156;cg05340048;cg07196858;cg24445388"
"chr1_DMR_117","cg03984347;cg04212926;cg06745753;cg26246947;cg07173823;cg15605235;cg02359160;cg14658964"
"chr1_DMR_118","cg08909156;cg19822229"
"chr1_DMR_119","cg11754402;cg24307292;cg05349042;cg13195895;cg23997339"
"chr1_DMR_120","cg09171692;cg23114183;cg21784096;cg14204738"
"chr1_DMR_121","cg24699146;cg09473613;cg25037394;cg18888403"
"chr1_DMR_122","cg23591125;cg06197571;cg14205576;cg04262179;cg22430565;cg04837847;cg11832543"
"chr1_DMR_123","cg11721194;cg07837085;cg04244970"
"chr1_DMR_124","cg17013990;cg15516558"
"chr1_DMR_125","cg10058766;cg22123711;cg10425291;cg07707505"
"chr1_DMR_126","cg27446185;cg04718492;cg22424746;cg16408593;cg15597855"
"chr1_DMR_127","cg16719404;cg21861305;cg03016153;cg10489672"
"chr1_DMR_128","cg13423759;cg13100137"
"chr1_DMR_129","cg17142950;cg19869443"
"chr1_DMR_130","cg18115627;cg23954153;cg12599982;cg26114324;cg20452714;cg06207804;cg13246856;cg22930187;cg26074140;cg18083817;cg20276103;cg16996266;cg06526872;cg23212751;cg13392029;cg15962314;cg21519202"
"chr1_DMR_131","cg10234282;cg20701901;cg06852461;cg13093042;cg08855249;cg15076217;cg22159815"
"chr1_DMR_132","cg11409796;cg21831501;cg02624704;cg11803838;cg14515203;cg25302646;cg01209226;cg17859081;cg19585271;cg23166770;cg11828430;cg10963949;cg03945538;cg24420778"
"chr1_DMR_133","cg06190616;cg14422922;cg02650767;cg07318145"
"chr1_DMR_134","cg15963463;cg05656688;cg03769939;cg11336061"
"chr1_DMR_135","cg06623486;cg15103675;cg13233534;cg17105358;cg20309078;cg13178361;cg13471915;cg27409012"
"chr1_DMR_136","cg02858402;cg12210036;cg26825650;cg07011373;cg24798047;cg20867633;cg20510272;cg17906339;cg05807885;cg15962547;cg00165862"
"chr1_DMR_137","cg22616255;cg15469321"
"chr1_DMR_138","cg01448881;cg08390254;cg06210630;cg07177379;cg09168997;cg15487620"
"chr1_DMR_139","cg11163777;cg26161024;cg07551364;cg23299127;cg22501103;cg20651453;cg02107304;cg03201274"
"chr1_DMR_140","cg18163252;cg16247817;cg05784314;cg24408896;cg21279955;cg03138446;cg23376526;cg00421624;cg19773045;cg26904702;cg08129092;cg07246449;cg06089988;cg26835327"
"chr1_DMR_141","cg26918754;cg21295838;cg19159961;cg16091981;cg18333690;cg23228178;cg05124692"
"chr1_DMR_142","cg02928840;cg27225130;cg24693478"
"chr1_DMR_143","cg15700197;cg25076881;cg19402335"
"chr1_DMR_144","cg25940557;cg04436634"
"chr1_DMR_145","cg02952913;cg03773413"
"chr1_DMR_146","cg23095383;cg26399994"
"chr1_DMR_147","cg04246763;cg16683160;cg02083836;cg01516372;cg09121047;cg17711365;cg04550823;cg02357336"
"chr1_DMR_148","cg23267160;cg03129717;cg15823064;cg24046927;cg24932816;cg23615016;cg25061772;cg20633321;cg10042178;cg26801613"
"chr1_DMR_149","cg15469709;cg09440340;cg07577997"
"chr1_DMR_150","cg17934824;cg16361301;cg09167119;cg25851842;cg22021178;cg08746138;cg16899280;cg21387604;cg13285637;cg27508144;cg16658719;cg11976166;cg06899755"
"chr1_DMR_151","cg16553500;cg19100596;cg05003322;cg13299148;cg23305408"
"chr1_DMR_152","cg11222217;cg09179249;cg01399485;cg22853713;cg11732134;cg23670372;cg00925802;cg07159230;cg18271964;cg24293689;cg13840252;cg17221941;cg10053369"
"chr1_DMR_153","cg04482794;cg14711690;cg11222527;cg11401257;cg00279406;cg24844313;cg05306109;cg22521948;cg19160520;cg05869122;cg23717186;cg05049329;cg18762243;cg13209122;cg03257293;cg01259619;cg16340268"
"chr1_DMR_154","cg16600889;cg14662970;cg11911399;cg12727462;cg04220635;cg08149333;cg21421408;cg09214920;cg24323958;cg23962285;cg00999623;cg23050784;cg17297328"
"chr1_DMR_155","cg02673436;cg12526120;cg05388468;cg17907945;cg08398452;cg15361231;cg26924209;cg05822179"
"chr1_DMR_156","cg16395432;cg24468934;cg00359365;cg11377047;cg23955417"
"chr1_DMR_157","cg27305704;cg18859763;cg14153654;cg18025409;cg23959705;cg16839093;cg17123655;cg14614416;cg06956444;cg08840010"
"chr1_DMR_158","cg12377113;cg26433816;cg19620994;cg04505750"
"chr1_DMR_159","cg02896696;cg24497541;cg09130963;cg23049307;cg17901584;cg25536676;cg11948341;cg00971804"
"chr1_DMR_160","cg01588592;cg25678231;cg21382392"
"chr1_DMR_161","cg26153096;cg19234495"
"chr1_DMR_162","cg24161615;cg03655395;cg00072675;cg12427321;cg17500189"
"chr1_DMR_163","cg25363807;cg06638529;cg20634514"
"chr1_DMR_164","cg17875320;cg06281016;cg26040761"
"chr1_DMR_165","cg10501210;cg22793142;cg04845871;cg15393490;cg24536146"
"chr1_DMR_166","cg03204322;cg20466954"
"chr1_DMR_167","cg11684496;cg06322891;cg18660064;cg24437797;cg08912155;cg01820314"
"chr1_DMR_168","cg16068833;cg00813993;cg16664472;cg08572767;cg19677267;cg19743891"
"chr1_DMR_169","cg06758143;cg05304531;cg27425314;cg26108329;cg03732263;cg20345978;cg21644096"
"chr1_DMR_170","cg07155211;cg24314279;cg20959676;cg16727538;cg00269115;cg17452713;cg18273566;cg24038158;cg15598244;cg05139070"
"chr1_DMR_171","cg18149207;cg03005293;cg03984502;cg25112191"
"chr1_DMR_172","cg21455438;cg04292718;cg16115720;cg20293352;cg27566858;cg03990033;cg01566217;cg02852407;cg26266618;cg16291276;cg03583857"
"chr1_DMR_173","cg13912858;cg18974926"
"chr1_DMR_174","cg19081101;cg03625911;cg02097014;cg17014757;cg14085262;cg07423149"
"chr1_DMR_175","cg20932440;cg03886898;cg17734802;cg17453374;cg23036171"
"chr1_DMR_176","cg12219387;cg09276842;cg01075305;cg14531564;cg09315878;cg03580801;cg03058163;cg01783406;cg19862782"
"chr1_DMR_177","cg15652014;cg06208651;cg07361180;cg00833394;cg10559803;cg06788278;cg14736905"
"chr1_DMR_178","cg17848546;cg01334432;cg05922993;cg12386297;cg27261597"
"chr1_DMR_179","cg04106076;cg22077553;cg01410279"
"chr1_DMR_180","cg25463742;cg26522708;cg26689934"
"chr1_DMR_181","cg17479280;cg10128479"
"chr1_DMR_182","cg16988986;cg23032129;cg23616212;cg02175308;cg13926338"
"chr1_DMR_183","cg05919685;cg03856044;cg13968061"
"chr1_DMR_184","cg26852651;cg00778544;cg02978142;cg23260635;cg22682031;cg10092158;cg13625205;cg13402217;cg04623088;cg23609082;cg17148978;cg00387445;cg16269755;cg00368415;cg24926775"
"chr1_DMR_185","cg12902497;cg10780495;cg26145502;cg22221490;cg09819654;cg21691089;cg07483064;cg17167924;cg01803717;cg13432294;cg12711814;cg10365178;cg04993279;cg18687706"
"chr1_DMR_186","cg07354440;cg17904988;cg14382215;cg08545169;cg04263215;cg14448116;cg17166812;cg10493436"
"chr1_DMR_187","cg26336059;cg26008365;cg00205485"
"chr1_DMR_188","cg12909523;cg12461099;cg21471199"
"chr1_DMR_189","cg22344162;cg13501279"
"chr1_DMR_190","cg15015426;cg07037019;cg26043322;cg06251978"
"chr1_DMR_191","cg02769705;cg24197477"
"chr1_DMR_192","cg15199921;cg18172804;cg08719467;cg25205988;cg24104045;cg04986989;cg11120551;cg24197750;cg07572770;cg17339450;cg27261837;cg15629860;cg26010182;cg11983977;cg21917976;cg16525692"
"chr1_DMR_193","cg27424995;cg24442740;cg15072832;cg27543538"
"chr1_DMR_194","cg19730691;cg14175690;cg04707332;cg13080379;cg24720355;cg24144440;cg21170796;cg26104752;cg07820868;cg02829688;cg06204711;cg16990168;cg27517681;cg21647227;cg05172122"
"chr1_DMR_195","cg06939447;cg04600984;cg27055894;cg22383924"
"chr1_DMR_196","cg00498603;cg26691567;cg13184734;cg19399532;cg00057676;cg15365210"
"chr1_DMR_197","cg12577372;cg24544490;cg08264805;cg19516515;cg24006126;cg08170787;cg10057065;cg22877509;cg22234962;cg08574629;cg26876647;cg15676040"
"chr1_DMR_198","cg15526535;cg22677556"
"chr1_DMR_199","cg15651835;cg20449648;cg04312406;cg04439128;cg26397881;cg12427029;cg10778994;cg00495462;cg12962021;cg26199493;cg20747393;cg17985912;cg02414175"
"chr1_DMR_200","cg21422623;cg16265553"
"chr1_DMR_201","cg00806481;cg11731671;cg22506548;cg10770533;cg24490279;cg08262220;cg12436196;cg25308086;cg06348826;cg17890044;cg02330501"
"chr1_DMR_202","cg01772149;cg26426080;cg07168837;cg22712408;cg05223638;cg12473797;cg14008571;cg09271661;cg13907655;cg22851557;cg24741666;cg16348158"
"chr1_DMR_203","cg05952202;cg22696995;cg06778273;cg24807889;cg04172501;cg23400617;cg13360866"
"chr1_DMR_204","cg12441221;cg17722719;cg07956012;cg26024851;cg12262564;cg23679769;cg12124478"
"chr1_DMR_205","cg19927257;cg07556773;cg23029546;cg17015897;cg14210872;cg09765586;cg07162320;cg07732755;cg23060239;cg17741818;cg11402704;cg11503744"
"chr1_DMR_206","cg11933267;cg21546132;cg20783674;cg16087263;cg09317398"
"chr1_DMR_207","cg03129643;cg12600418;cg06921501;cg14280964;cg26309987;cg19644445;cg19872095;cg26007664;cg08857221;cg24635860;cg03140118;cg01937809;cg16371538;cg18891404;cg15949277"
"chr1_DMR_208","cg22341865;cg18017109;cg25312481;cg19368966;cg05704155;cg13077490;cg17520927;cg02068989;cg06829969;cg00885901"
"chr1_DMR_209","cg21295678;cg15209440"
"chr1_DMR_210","cg22040158;cg17898124"
"chr1_DMR_211","cg27176828;cg06616057;cg08185241;cg13460643;cg14824901;cg09666230;cg17710021;cg23646375;cg26050864"
"chr1_DMR_212","cg06619077;cg02291556;cg07150145;cg26523175;cg09258479"
"chr1_DMR_213","cg13107428;cg17723299;cg02736602;cg10975057;cg05780177;cg06671340;cg17611742;cg15713362;cg21534578;cg12140668;cg24393699;cg24461171;cg03763769"
"chr1_DMR_214","cg00883837;cg20465661"
"chr1_DMR_215","cg03089651;cg12081303;cg01774645;cg00045607"
"chr1_DMR_216","cg20302133;cg07808555;cg26013553;cg11595545;cg01423964;cg18395935;cg00995520;cg07903677;cg09410234;cg03483626;cg13925011;cg07421287;cg15726426"
"chr1_DMR_217","cg23651812;cg18348086;cg03528302;cg25605174;cg23731501;cg14287724;cg26330479;cg06967105"
"chr1_DMR_218","cg23037132;cg17602126;cg17449954;cg05720261;cg06154570;cg12160637"
"chr1_DMR_219","cg16362305;cg11587466"
"chr1_DMR_220","cg27169129;cg17587023;cg17940251;cg26795730;cg08709672;cg04633513;cg18992688;cg00761787;cg10818339"
"chr1_DMR_221","cg14162927;cg21411233;cg26568855;cg23288653;cg26233468;cg26879777;cg12771053;cg14666069;cg08831354;cg26258877;cg11278262;cg06193775;cg15497761;cg22603815;cg25613262;cg10446869;cg04498190;cg21473748;cg03646674;cg06203102"
"chr1_DMR_222","cg09373727;cg21545720;cg10184881"
"chr1_DMR_223","cg21858764;cg14847134;cg17971328"
"chr1_DMR_224","cg01800926;cg26985289;cg27399414;cg24551579;cg08845510;cg23616100;cg24044762;cg23272189;cg15619966;cg09174674;cg24691879;cg07035320;cg00123104;cg04969937;cg19858017"
"chr1_DMR_225","cg04143346;cg07420507;cg09551172;cg18194353;cg15383719;cg08457409;cg17474694;cg13229494;cg16376691;cg24794734;cg01933228;cg09843173;cg14453641;cg13614946;cg15481227"
"chr1_DMR_226","cg10059687;cg23114616;cg10539898;cg00087884;cg02084087;cg03893150;cg02064442;cg16681526;cg04500986;cg11756870"
"chr1_DMR_227","cg10777461;cg22515654"
"chr1_DMR_228","cg18310639;cg10100437"
"chr1_DMR_229","cg17284082;cg01002341;cg23636324;cg17074213;cg24879809;cg08848903;cg09838042;cg23113350;cg00563926;cg19846193;cg19756345;cg07557690"
"chr1_DMR_230","cg08105396;cg22700686;cg21196487;cg19907725;cg13997435"
"chr1_DMR_231","cg04509221;cg04855369;cg03082523"
"chr1_DMR_232","cg08265551;cg00569385;cg23242863;cg07367563;cg25621096;cg02918910;cg17299902;cg18660898;cg10401367;cg00224508;cg04469105;cg11717150;cg15185033;cg17002259;cg07139440"
"chr1_DMR_233","cg19406975;cg00804354"
"chr1_DMR_234","cg06787764;cg15696662;cg08160980;cg23431851;cg24542714;cg19856273;cg01431908"
"chr1_DMR_235","cg15490070;cg17819732"
"chr1_DMR_236","cg02447380;cg24118052;cg04896949;cg08450168;cg02525756;cg04606722"
"chr1_DMR_237","cg20154143;cg14217558;cg26435254;cg02299950"
"chr1_DMR_238","cg01523881;cg26838949"
"chr1_DMR_239","cg05723989;cg20270863;cg08900371;cg24060037;cg04282788;cg18234296;cg16118387;cg25876656;cg18265162"
"chr1_DMR_240","cg08920121;cg24035898;cg15842317;cg09369381;cg15063322;cg25820858;cg11282564;cg15549973;cg12217625;cg07961479;cg10839385"
"chr1_DMR_241","cg13947949;cg16272484;cg04565617;cg18941796;cg15556553;cg03227570;cg02506043;cg11850961;cg11737843;cg21243909;cg20465008;cg01671285;cg23913963;cg01695892;cg06151567;cg01346589;cg25607239;cg00992659;cg16032384;cg12447589;cg22031887;cg25660961"
